"26509",,,,,,"3982","aa","","2023-01-30 02:11:29","2023-01-22","","1 fragment of amphora with a dipinto, painted with black ink. Only one letter (?) preserved","L 3.1; W 3.8; th. 0.55 ","","","clay; black ink","LRA1","2024-07-19 08:36:04","dipinto on amphora","BE23-156/012/001","","","fragmentary","","1","","","found during pot-wash","","Geerts, R.","","","","7,1"
"1325","BE","9","57","1","002","89","O","","","2009_01_29","","Nasiona palmy daktylowej Phoenix dactylifera, nasiona oliwki Olea europaea, łupinki pistacji, fragmenty liści laurowych Laurus nabili, mezocarp pomarańczy Citrus aurantium ssp. amara,","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","","","","","32"
"1326","BE","9","57","1","003","90","O","","","2009_01_29","","Nasiona palmy daktylowej Phoenix dactylifera, nasiona oliwki Olea europaea, fragment łuski okrywającej szyszki sosny pinii Pinus pinia, pestki śliwki egipskiej Cordia myxta, fragmenty łusek nasiennych Balanites eagyptica, kawałek gałązki (mały, silnie zasolony, sądzę, że to tamaryszek Tamarix sp.)","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","20"
"1327","BE","9","57","1","004","91","O","","","2009_01_29","","głównie ziarniaki sorga Sorghum balepense, trochę ziarniaków pszenicy Triticum dicoccum, pojedyncze: łupiny nasienne orzecha włoskiego Juglans regia, nasiona palmy daktylowej Phoenix dactylifera, pestki śliwki egipskiej Cordia myxta, fragmenty owoców Ziziphus spina-christi, nie zidentyfikowano 2 nasion (jedno – małe, kuliste, ø4mm, jasnoszare, powierzchnia słabo nieregularnie żeberkowana, drugie – wydłużone, łezkowate, 13×5mm, powierzchnia ciemnobrunatna, gładka), 2 owoce suchorośli pustynnych","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","","","","","26"
"1328","BE","9","57","1","005","92","O","","","2009_01_30","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","101"
"1329","BE","9","57","1","005","92","O","","","2009_01_30","","","","","","coconut","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","bag"
"1330","BE","9","57","1","006","93","O","","","2009_01_31","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","38"
"1331","BE","9","57","1","007","94","O","","","2009_01_31","","Fragment skorupy orzecha kokosowego Cocos nucifera included 32gNasiona palmy daktylowej Phoenix dactylifera, nasiona oliwki Olea europaea, fragment skorupy nasiennej orzecha włoskiego Juglans regia, fragmenty mezokarpu migdału Prunus amygdalus, pestki śliwy Prunus domestica, piętki z fragmentami łusek tuniki cebuli Allium cepa, owoce Zizipus spina-christi, łupiny nasienne melonu Cucumis melo, ziarniaki jęczmienia z fragmentem osadki kłosa Hordeum vulgare, łupiny orzecha laskowego Corylus avellana, fragmenty liści laurowych Laurus nobilis, owoce kapara Capparis spinosa, pieprz czarny Piper nigrum, PRZYPRAWA Z MOTYLKOWATYCH SPRAWDZIĆ","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","195"
"1332","BE","9","57","1","007","94","qq","","","2009_01_31","","","","","","resin","","2011-03-06 21:50:05","resin (collective)","","","","","","","","","","","Zieliński, J.","","","","40"
"1333","BE","9","57","1","008","95","O","","","2009_02_01","","Fragment łupiny granatu Punica granatum, piętki cebuli Allium cepa, fragmenty łusek okrywowych szyszek sosny pinii Pinus pinia, PRZYPRAWA MOTYLKOWA SPRAWDZIĆ, fragmenty łupiny nasiennej orzecha włoskiego Juglans regia, nasiona winogrona Vitis vinifera, nasiona palmy daktylowej Phoenix dactylifera, nasiona oliwki Olea europaea, pieprz czarny Piper nigrum, fragmenty nasion Balanites aegyptica, HEIJLEJ, ziarniaki pszenicy Triticum dicoccum, fragmenty owoców Ziziphus spina-christi","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","","","","","127"
"1334","BE","9","57","1","008","95","O","","","2009_02_01","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","","","","","272"
"1335","BE","9","57","1","008","95","qq","","","2009_02_01","","","","","","resin","","2011-03-06 21:50:04","resin (collective)","","","","","","","","","","","","","","","88"
"1336","BE","9","57","1","009","96","O","","","2009_02_01","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","","","","","22"
"1337","BE","9","57","1","014","101","O","","","2009_02_02","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","5"
"1338","BE","9","57","2","010","97","O","","","2009_02_01","","Nasiona palmy daktylowej Phoenix dactylifera, ziarniaki sorgo Sorghum balepense, owoce Ziziphus spina-christi, zwęglony kawałek drewna ?","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","2"
"1339","BE","9","57","3","011","98","O","","","2009_02_01","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","17"
"1340","BE","9","57","3","012","99","qq","","","2009_02_02","","","","","","resin","","2011-03-06 21:50:03","resin (collective)","","","","","","","","","","","Zieliński, J.","","","","107"
"1341","BE","9","57","3","012","99","O","","","2009_02_02","","Nasiona palmy daktylowej Phoenix dactylifera, łupiny nasienne orzecha włoskiego Juglans regia, Hejilej, nasiona oliwki Olea europaea, nasiona śliwki egipskiej Cordia myxta, owoce Ziziphus spina-christi, 2 nieznane nasiona (małe ø3-5 mm, kuliste, czarne z lekko bruzdowaną powierzchnią, znaczek bardzo mały); trawy, w tym jęczmień Hordeum vulgare, trzcina Arundo donax, gałązki suchorośli pustynnych w tym akacja Acacia sp., nieliczne kawałki drewna cedru Cedrus atlantica ssp. libani","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","67"
"1342","BE","9","57","4","013","100","O","","","2009_02_02","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","5"
"1343","BE","9","57","6","015","102","O","","","2009_02_02","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","","","","","36"
"1344","BE","9","57","6","015","102","qq","","","2009_02_02","","","","","","resin","","2011-03-06 21:50","resin (collective)","","","","","","","","","","","","","","","5"
"1345","BE","9","57","7","016","103","O","","","2009_02_03","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","220"
"1346","BE","9","57","7","016","103","qq","","","2009_02_03","","","","","","resin","","2011-03-06 21:49:59","resin (collective)","","","","","","","","","","","Zieliński, J.","","","","64"
"1347","BE","9","57","7","016","103","O","","","2009_02_03","","","","","","coconut","","2011-01-12","collective","","","","","","frgs","","","","","Zieliński, J.","","","",""
"1348","BE","9","57","7","017","104","qq","","","2009_02_04","","","","","","resin","","2011-03-06 21:49:58","resin (collective)","","","","","","","","","","","Zieliński, J.","","","","23"
"1349","BE","9","57","7","017","104","O","","","2009_02_04","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","56"
"1350","BE","9","57","8","018","105","O","","","2009_02_04","","","","","","botanical sample","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","161"
"1351","BE","9","57","8","018","105","qq","","","2009_02_04","","","","","","resin","","2013-01-20 11:09:27","resin (collective)","","","","","","","","","additional resin identified in pottery inspection BE12 (separate bag)","","Zieliński, J.","","","","239+5"
"1352","BE","9","57","8","018","105","O","","","2009_02_04","","","","","","stone","","2011-01-12","collective","","","","","","","","","","","","","","","1"
"1353","BE","9","57","8","019","106","qq","","","2009_02_05","","","","","","resin","","2011-03-06 21:49:57","resin (collective)","","","","","","","","","","","Zieliński, J.","","","","338"
"1354","BE","9","57","8","019","106","O","","","2009_02_05","","","","","","botanical sample","coconut","2011-03-08 09:13","collective","","","","","","","","","","","Zieliński, J.","","","","99"
"1355","BE","9","54","3","003","8","qq","","","2009_01_28","","","","","","resin","","2011-03-06 21:49:56","resin (collective)","","","","","","","","","","","Zieliński, J.","","","","1"
"1356","BE","9","55","19","027","68","O+G","","","2009_02_04","","cedr Cedrus atlantica ssp. libani","","","","botanical-pottery","","2011-01-12","botanical (collective)","","","","","","","","","","","","","","","300"
"1357",,,,,"001","6","Q","","","2009_01_27","","","","","","wood","","2011-03-06 21:46:11","charcoal","","","","","","","","","","","","","","","78"
"1358","BE","9","54","2","002","7","Q","","","2009_01_28","","","","","","wood","","2011-03-06 21:45:31","charcoal","","","","","","","","","","","","","","","76"
"1359","BE","9","54","3","003","8","Q","","","2009_01_28","","","","","","wood","","2011-03-06 21:45:30","charcoal","","","","","","","","","","","","","","","450"
"1360","BE","9","54","4","010","15","Q","","","2009_01_30","","","","","","wood","","2011-03-06 21:45:29","charcoal","","","","","","","","","","","","","","","150"
"1361","BE","9","54","4","026","32","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:45:28","charcoal","","","","","","","","","","","","","","","100"
"1362","BE","9","54","5","005","10","Q","","","2009_01_28","","ash ?","","","","wood","","2011-03-06 21:45:27","charcoal","","","","","","","","","","","","","","","bag"
"1363","BE","9","54","5","006","11","Q","","","2009_01_29","","chunks","","","","wood","","2011-03-06 21:45:26","charcoal","","","","","","","","","","","","","","","89"
"1364","BE","9","54","5","023","29","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:45:25","charcoal","","","","","","","","","","","","","","","12"
"1365","BE","9","54","8","009","14","Q","","","2009_01_30","","","","","","wood","","2011-03-06 21:45:24","charcoal","","","","","","","","","","","","","","","18"
"1366","BE","9","54","8","011","16","Q","","","2009_01_31","","","","","","wood","","2011-03-06 21:45:23","charcoal","","","","","","","","","","","","","","","310"
"1367","BE","9","54","9","019","25","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:45:22","charcoal","","","","","","","","","","","","","","","328"
"1368","BE","9","54","9","024","30","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:45:22","charcoal","","","","","","","","","","","","","","","70"
"1369","BE","9","54","10","025","31","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:45:21","charcoal","","","","","","","","","","","","","","","48"
"1370","BE","9","54","11","012","17","Q","","","2009_01_31","","","","","","wood","","2011-03-06 21:45:20","charcoal","","","","","","","","","","","","","","","114"
"1371","BE","9","54","12","013","18","Q","","","2009_01_31","","","","","","wood","","2011-03-06 21:45:19","charcoal","","","","","","","","","","","","","","","174"
"1372","BE","9","54","12","013a","19","Q","","","2009_02_01","","","","","","wood","","2011-03-06 21:45:18","charcoal","","","","","","","","","","","","","","","53"
"1373","BE","9","54","12","017","23","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:45:16","charcoal","","","","","","","","","","","","","","","211"
"1374","BE","9","54","13","014","20","Q","","","2009_02_01","","","","","","wood","","2011-03-06 21:45:13","charcoal","","","","","","","","","","","","","","","11"
"1375","BE","9","54","14","015","21","Q","","","2009_02_01","","","","","","wood","","2011-03-06 21:45:12","charcoal","","","","","","","","","","","","","","","143"
"1376","BE","9","54","15","016","22","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:45:11","charcoal","","","","","","","","","","","","","","","432"
"1377","BE","9","54","16","020","26","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:45:10","charcoal","","","","","","","","","","","","","","","146"
"1378","BE","9","54","17","018","24","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:45:10","charcoal","","","","","","","","","","","","","","","200"
"1379","BE","9","54","18","021","27","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:45:08","charcoal","","","","","","","","","","","","","","","399"
"1380","BE","9","54","999","022","28","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:45:06","charcoal","","","","","","","","","Loc. 019 = PB 022=999","","","","","","123"
"1381","BE","9","54","20","034","39","Q","","","2009_02_07","","","","","","wood","","2011-03-06 21:45:05","charcoal","","","","","","","","","","","","","","","19"
"1382","BE","9","54","999","028","33","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:45:04","charcoal","","","","","","","","","loc. 022 = PB 028=999","","","","","","65"
"1383","BE","9","54","23","029","34","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:45:04","charcoal","","","","","","","","","","","","","","","63"
"1384","BE","9","54","24","030","35","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:45:03","charcoal","","","","","","","","","","","","","","","211"
"1385","BE","9","54","25","031","36","Q","","","2009_02_07","","","","","","wood","","2011-03-06 21:45:02","charcoal","","","","","","","","","","","","","","","209"
"1386","BE","9","54","26","032","37","Q","","","2009_02_07","","","","","","wood","","2011-03-06 21:45:01","charcoal","","","","","","","","","","","","","","","28"
"1387","BE","9","54","27","035","40","Q","","","2009_02_08","","","","","","wood","","2011-03-06 21:45:01","charcoal","","","","","","","","","","","","","","","52"
"1388","BE","9","54","28","033","38","Q","","","2009_02_07","","","","","","wood","","2011-03-06 21:45","charcoal","","","","","","","","","","","","","","","19"
"1389","BE","9","54","999","036","41","Q","","","2009_02_08","","","","","","wood","","2011-03-06 21:44:59","charcoal","","","","","","","","","loc.029 = PB 036=999","","","","","","302"
"1390","BE","9","54","999","037","42","Q","","","2009_02_09","","","","","","wood","","2011-03-06 21:44:57","charcoal","","","","","","","","","loc.029 = PB 037=999","","","","","","202"
"1391","BE","9","55","999","030","71","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:44:55","charcoal","","","","","","","","","","","","","","","6"
"1392","BE","9","55","1","001","43","Q","","","2009_01_27","","","","","","wood","","2011-03-06 21:44:54","charcoal","","","","","","","","","","","","","","","90"
"1393","BE","9","55","2","002","44","Q","","","2009_01_27","","","","","","wood","","2011-03-06 21:44:54","charcoal","","","","","","","","","","","","","","","74"
"1394","BE","9","55","3","004","46","Q","","","2009_01_28","","","","","","wood","","2011-03-06 21:44:53","charcoal","","","","","","","","","","","","","","","126"
"1395","BE","9","55","3","009","51","Q","","","2009_01_29","","","","","","wood","","2011-03-06 21:44:52","charcoal","","","","","","","","","","","","","","","75"
"1396","BE","9","55","3","011","53","Q","","","2009_01_30","","","","","","wood","","2011-03-06 21:44:51","charcoal","","","","","","","","","","","","","","","90"
"1397","BE","9","55","4","003","45","Q","","","2009_01_28","","","","","","wood","","2011-03-06 21:44:51","charcoal","","","","","","","","","","","","","","","10"
"1398","BE","9","55","5","005","47","Q","","","2009_01_28","","","","","","wood","","2011-03-06 21:44:50","charcoal","","","","","","","","","","","","","","","316"
"1399","BE","9","55","6","006","48","Q","","","2009_01_28","","","","","","wood","","2011-03-06 21:44:49","charcoal","","","","","","","","","","","","","","","49"
"1400","BE","9","55","6","008","50","Q","","","2009_01_29","","","","","","wood","","2011-03-06 21:44:48","charcoal","","","","","","","","","","","","","","","50"
"1401","BE","9","55","7","007","49","Q","","","2009_01_29","","","","","","wood","","2011-03-06 21:44:47","charcoal","","","","","","","","","","","","","","","833"
"1402","BE","9","55","7","014","56","Q","","","2009_01_31","","","","","","wood","","2011-03-06 21:44:46","charcoal","","","","","","","","","","","","","","","407"
"1403","BE","9","55","9","012","54","Q","","","2009_01_30","","","","","","wood","","2011-03-06 21:44:46","charcoal","","","","","","","","","","","","","","","21"
"1404","BE","9","55","9","013","55","Q","","","2009_01_31","","","","","","wood","","2011-03-06 21:44:45","charcoal","","","","","","","","","","","","","","","290"
"1405","BE","9","55","9","016","58","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:44:42","charcoal","","","","","","","","","","","","","","","46"
"1406","BE","9","55","10","017","59","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:44:38","charcoal","","","","","","","","","","","","","","","56"
"1407","BE","9","55","11","018","60","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:44:37","charcoal","","","","","","","","","","","","","","","74"
"1408","BE","9","55","12","019","61","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:44:36","charcoal","","","","","","","","","","","","","","","41"
"1409","BE","9","55","13","022","63","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:44:36","charcoal","","","","","","","","","","","","","","","55"
"1410","BE","9","55","14","023","64","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:44:35","charcoal","","","","","","","","","","","","","","","24"
"1411","BE","9","55","15","024","65","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:44:31","charcoal","","","","","","","","","","","","","","","9"
"1412","BE","9","55","16","025","66","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:44:30","charcoal","","","","","","","","","","","","","","","10"
"1413","BE","9","55","17","026","67","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:44:30","charcoal","","","","","","","","","","","","","","","5"
"1414","BE","9","55","19","027","68","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:44:28","charcoal","","","","","","","","","","","","","","","26"
"1415","BE","9","55","20","028","69","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:44:28","charcoal","","","","","","","","","","","","","","","29"
"1416","BE","9","55","21","029","70","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:44:27","charcoal","","","","","","","","","","","","","","","49"
"1417","BE","9","55","22","031","72","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:44:26","charcoal","","","","","","","","","","","","","","","27"
"1418","BE","9","55","22","034","75","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:44:25","charcoal","","","","","","","","","","","","","","","68"
"1419","BE","9","55","26","035","76","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:44:25","charcoal","","","","","","","","","","","","","","","26"
"1420","BE","9","55","27","036","77","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:44:22","charcoal","","","","","","","","","","","","","","","37"
"1421","BE","9","55","28","037","78","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:44:21","charcoal","","","","","","","","","","","","","","","6"
"1422","BE","9","55","29","038","79","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:44:20","charcoal","","","","","","","","","","","","","","","23"
"1423","BE","9","55","29","040","81","Q","","","2009_02_07","","","","","","wood","","2011-03-06 21:44:19","charcoal","","","","","","","","","","","","","","","49"
"1424","BE","9","55","30","039","80","Q","","","2009_02_07","","","","","","wood","","2011-03-06 21:44:18","charcoal","","","","","","","","","","","","","","","44"
"1425","BE","9","55","31","042","83","Q","","","2009_02_08","","","","","","wood","","2011-03-06 21:44:18","charcoal","","","","","","","","","","","","","","","11"
"1426","BE","9","55","32","043","84","Q","","","2009_02_09","","","","","","wood","","2011-03-06 21:44:17","charcoal","","","","","","","","","","","","","","","11"
"1427","BE","9","55","33","044","85","Q","","","2009_02_09","","","","","","wood","","2011-03-06 21:44:16","charcoal","","","","","","","","","","","","","","","10"
"1428","BE","9","55","999","021","62","Q","","","2009_02_01","","","","","","wood","","2011-03-06 21:44:15","charcoal","","","","","","","","","baulk trim","","","","","","162"
"1429","BE","9","55","999","041","82","Q","","","2009_02_08","","","","","","wood","","2011-03-06 21:44:14","charcoal","","","","","","","","","","","","","","","29"
"1430","BE","9","56","1","001","86","Q","","","2009_01_28","","","","","","wood","","2011-03-06 21:44:13","charcoal","","","","","","","","","","","","","","","42"
"1431","BE","9","57","999","020","107","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:44:13","charcoal","","","","","","","","","baulk clean context 005, PB 020","","","","","","88"
"1432","BE","9","57","999","021","108","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:44:12","charcoal","","","","","","","","","baulk","","","","","","5"
"1433","BE","9","57","1","001","88","Q","","","2009_01_28","","","","","","wood","","2011-03-06 21:44:11","charcoal","","","","","","","","","","","","","","","92"
"1434","BE","9","57","1","002","89","Q","","","2009_01_29","","","","","","wood","","2011-03-06 21:44:10","charcoal","","","","","","","","","","","","","","","43"
"1435","BE","9","57","1","003","90","Q","","","2009_01_29","","","","","","wood","","2011-03-06 21:44:07","charcoal","","","","","","","","","","","","","","","156"
"1436","BE","9","57","1","004","91","Q","","","2009_01_29","","","","","","wood","","2011-03-06 21:44:02","charcoal","","","","","","","","","","","","","","","34"
"1437","BE","9","57","1","005","92","Q","","","2009_01_30","","","","","","wood","","2011-03-06 21:43:58","charcoal","","","","","","","","","","","","","","","192"
"1438","BE","9","57","1","006","93","Q","","","2009_01_31","","","","","","wood","","2011-03-06 21:43:57","charcoal","","","","","","","","","","","","","","","66"
"1439","BE","9","57","1","007","94","Q","","","2009_01_31","","","","","","wood","","2011-03-06 21:43:56","charcoal","","","","","","","","","","","","","","","252"
"1440","BE","9","57","1","008","95","Q","","","2009_02_01","","","","","","wood","","2011-03-06 21:43:55","charcoal","","","","","","","","","","","","","","","170"
"1441","BE","9","57","1","009","96","Q","","","2009_02_01","","","","","","wood","","2011-03-06 21:43:54","charcoal","","","","","","","","","","","","","","","66"
"1442","BE","9","57","1","014","101","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:43:53","charcoal","","","","","","","","","","","","","","","26"
"1443","BE","9","57","2","010","97","Q","","","2009_02_01","","","","","","wood","","2011-03-06 21:43:52","charcoal","","","","","","","","","","","","","","","5"
"1444","BE","9","57","3","011","98","Q","","","2009_02_01","","","","","","wood","","2011-03-06 21:43:48","charcoal","","","","","","","","","","","","","","","164"
"1445","BE","9","57","3","012","99","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:43:46","charcoal","","","","","","","","","","","","","","","160"
"1446","BE","9","57","4","013","100","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:43:45","charcoal","","","","","","","","","","","","","","","35"
"1447","BE","9","57","6","015","102","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:43:44","charcoal","","","","","","","","","","","","","","","11"
"1448","BE","9","57","6","015","102","Q","","","2009_02_02","","","","","","wood","","2011-03-06 21:43:44","charcoal","","","","","","","","","","","","","","","66"
"1449","BE","9","57","7","016","103","Q","","","2009_02_03","","","","","","wood","","2011-03-06 21:43:43","charcoal","","","","","","","","","","","","","","","425"
"1450","BE","9","57","7","017","104","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:43:42","charcoal","","","","","","","","","","","","","","","94"
"1451","BE","9","57","8","018","105","Q","","","2009_02_04","","","","","","wood","","2011-03-06 21:43:41","charcoal","","","","","","","","","","","","","","","326"
"1452","BE","9","57","8","019","106","Q","","","2009_02_05","","","","","","wood","","2011-03-06 21:43:40","charcoal","","","","","","","","","","","","","","","392"
"1453",,,,,"001","6","P","","","2009_01_27","","jeden kawałek drewna akacji Acacia sp. (zdobiony, ze żłobkowaną fakturą obu powierzchni), reszta to drewno cedrowe Cedrus atlantica ssp. libani","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","16"
"1454","BE","9","54","2","002","7","P","","","2009_01_28","","większość kawałków drewna silnie spróchniała (prawdopodobnie to cedr Cedrus atlantica ssp.libani), kawałki, które udało się określić to cedr Cedrus atlantica ssp.libani, są też kawałki trzciny i gałązki suchorośli pustynnych","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","36"
"1455","BE","9","54","3","003","8","P","","","2009_01_28","","cedr Cedrus atlantica ssp.libani","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","10"
"1456","BE","9","54","4","010","15","P","","","2009_01_30","","drewno cedru Cedrus atlantica ssp. libani, kawałek trzciny nie wiem jakiego gatunku, prawdopodobnie Arundo donax lub Phragmites australis","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","50"
"1457","BE","9","54","4","026","32","P","","","2009_02_04","","","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","2"
"1458","BE","9","54","5","005","10","P","","","2009_01_28","","zwęglone kawałki prawdopodobnie cedr Cedrus atlantica ssp. libani, ale ja nie jestem specjalistą od węgla drzewnego","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","35"
"1459","BE","9","54","5","023","29","P","","","2009_02_04","","nasiono oliwki Olea europaea, fragment owocu Ziziphus spina-christi; cedr Cedrus atlantica ssp.libani; pakuły (prawdopodobnie rozwłóknione liście palmy, trzciny i drobne trociny), kawałki drewna cedra Cedrus atlantica ssp.libani i tamaryszku Tamarix sp., trzcina, gałązki suchorośli pustynnych i tamaryszka Tamarix sp.","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","208"
"1460","BE","9","54","6","007","12","P","","","2009_01_29","","cedr Cedrus atlantica ssp.libani","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","232"
"1461","BE","9","54","999","000","5","P","","","2009_02_09","","","","","","wood","Cedr Cedru atlantica ssp. libani","2011-05-28 21:49:38","post, sample","","","","","","","","","context 006, feature 006A, around it, but mounted in lower context","","Zieliński, J.","","","","bag"
"1462","BE","9","54","8","011","16","P","","","2009_01_31","","cedr Cedrus atlantica ssp.libani, gałązka tamaryszku Tamarix sp.","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","2"
"1463","BE","9","54","9","019","25","P","","","2009_02_03","","wszystkie kawałki to najprawdopodobniej cedr Cedrus atlantica ssp. libani, ale są bardzo silnie zasolone, łatwo więc o pomyłkę; 3 fragmenty łupin nasiennych Balanites aegyptica, 1 nasiono niezidentyfikowane (małe kuliste ø3,2mm jak w punkcie 7)","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","178"
"1464","BE","9","54","9","024","30","P","","","2009_02_04","","drewno cedru Cedrus atlantica ssp. libani","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","90"
"1465","BE","9","54","10","025","31","P","","","2009_02_04","","owoc Ziziphus spina-christi, pestka śliwki egipskiej Balanites aegyptica, owoc suchorośli pustynnej; tamaryszek Tamarix sp., dwa kawałki jałowca Juniperus drupacea","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","10"
"1466","BE","9","54","11","012","17","P","","","2009_01_31","","Niespróchniałe kawałki drewna to cedr Cedrus atlantica ssp.libani, reszta zbyt zniszczona bym mógł określić; kawałki drewna tamaryszka Tamarix sp., cedra Cedrus atlantica ssp.libani","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","77"
"1467","BE","9","54","12","013","18","P","","","2009_01_31","","ŚMIETNIK!!! Kawałki sznurków w tym sizalowe i lniane, rozplecione i skołtunione jak pakuły, drewno głównie cedru Cedrus atlantica ssp. libani, patyczki w większości niezidentyfikowane, w śród nich tamaryszek Tamarix sp., sieczka traw (może zbóż) sklejona żywicą; ","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","140"
"1468","BE","9","54","12","013a","19","P","","","2009_02_01","","kawałki trzciny, skrawki drewna cedra Cedrus atlantica ssp. libani, kawałki drewna tamaryszka Tamarix sp., kawałek sznurka najprawdopodobniej sizal lub inna palma","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","275"
"1469","BE","9","54","12","017","23","P","","","2009_02_02","","Nasiona palmy daktylowej Phoenix dactylifera, fragment pestki najprawdopodobniej wiśni Prunus cerasus; ŚMIETNIK!!! Kawałki sznurków w tym sizalowe i lniane, trzcina Arundo donax, drewno głównie cedru Cedrus atlantica ssp. libani, 2 kawałki drewna akacji Acacia sp., patyczki w większości niezidentyfikowane, w śród nich tamaryszek Tamarix sp.","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","234"
"1470","BE","9","54","14","015","21","P","","","2009_02_01","","Owoce Ziziphus spina-christi; pakuły (prawdopodobnie rozwłóknione liście palmy, trzciny i drobne trociny), spróchniałe kawałki drewna cedra Cedrus atlantica ssp. libani; kawałki drewna: cedr Cedrus atlantica ssp.libani, tamaryszek Tamarix sp. i Boswelia sp;  Guma z kadzidli Boswelia sp.","","","","wood","","2011-01-12","collective","","","","","","","","","","","Zieliński, J.","","","","285"
